Title;Type;Premiere;Genre;Watchtime
Full Swing;TV Show;2023;Documentary;53100000
The Walking Dead;TV Show;2010;Horror;53000000
Welcome to Eden;TV Show;2022;Science Fiction;53000000
We Can Be Heroes;Movie;2020;Adventure;52800000
Arnold;TV Show;2023;Documentary;52500000
Better Call Saul;TV Show;2015;Crime;52500000
The King's Affection;TV Show;2021;Drama;52400000
Shameless;TV Show;2011;Comedy;52300000
Missing: Dead or Alive?;TV Show;2023;Crime;52200000
Bodyguard;TV Show;2018;Action;52000000
The Lorax;Movie;2012;Animation;52000000
1899;TV Show;2022;Science Fiction;51800000
A Tourist?s Guide to Love;Movie;2023;Comedy;51800000
It's Okay to Not Be Okay;TV Show;2020;Drama;51800000
Vikings;TV Show;2013;History;51800000
Faraway;Movie;2023;Comedy;51700000
Blood & Gold;Movie;2023;Action;51600000
Soy Georgina;TV Show;2022;Reality-Show;51600000
The Blacklist;TV Show;2013;Crime;51600000
Little Women;TV Show;2022;Thriller;51300000
Grey's Anatomy;TV Show;2005;Drama;51200000
The Walking Dead;TV Show;2010;Horror;51200000
The Office;TV Show;2005;Comedy;51000000
The Last Kingdom;TV Show;2015;History;50900000
The Endless Night;TV Show;2023;Drama;50800000
Faithfully Yours;Movie;2022;Thriller;50600000
Masha and the Bear;TV Show;2009;Animation;50400000
Masha and the Bear;TV Show;2009;Animation;50300000
The Office;TV Show;2005;Comedy;50100000
2 Hearts;Movie;2020;Romance;50000000
Suits;TV Show;2011;Drama;50000000
Tin & Tina;Movie;2023;Horror;49700000
The Blacklist;TV Show;2013;Crime;49600000
Friends;TV Show;1994;Comedy;49400000
Love Is Blind: Brazil;TV Show;2021;Reality-Show;49300000
Vinland Saga;TV Show;2019;Animation;49300000
Nuevo Rico Nuevo Pobre;TV Show;2007;Drama;49200000
The Lincoln Lawyer;TV Show;2022;Drama;49200000
Brooklyn Nine-Nine;TV Show;2013;Comedy;48900000
Cobra Kai;TV Show;2018;Action;48900000
Orange Is the New Black;TV Show;2013;Drama;48800000
The End of Paradise;TV Show;2019;Crime;48600000
Shooter;TV Show;2016;Action;48600000
Brooklyn Nine-Nine;TV Show;2013;Comedy;48500000
Rosario Tijeras;TV Show;2016;Action;48500000
The Smurfs;TV Show;2021;Animation;48400000
Emily in Paris;TV Show;2020;Drama;48300000
The Magician's Elephant;Movie;2023;Animation;48300000
Friends;TV Show;1994;Comedy;48200000
Shrek;Movie;2001;Animation;48100000
Suits;TV Show;2011;Drama;48100000
Teen Titans Go!;TV Show;2013;Animation;48100000
American Manhunt: The Boston Marathon Bombing;TV Show;2023;Documentary;47900000
Twenty Five Twenty One;TV Show;2022;Comedy;47800000
Shrek 2;Movie;2004;Animation;47500000
JUNG_E;Movie;2023;Science Fiction;47100000
Friends;TV Show;1994;Comedy;46900000
The School for Good and Evil;Movie;2022;Fantasy;46900000
Puss in Boots;Movie;2011;Animation;46600000
The Thundermans;TV Show;2013;Science Fiction;46500000
Friends;TV Show;1994;Comedy;46400000
Teen Titans Go!;TV Show;2013;Animation;46400000
Rana Naidu;TV Show;2023;Action;46300000
From Scratch;TV Show;2022;Drama;46200000
Bake Squad;TV Show;2021;Reality-Show;46100000
Friends;TV Show;1994;Comedy;46100000
Shuroop;TV Show;2022;Comedy;46100000
Ganglands;TV Show;2021;Action;46000000
The Queen's Gambit;TV Show;2020;Drama;45900000
Virgin River;TV Show;2019;Drama;45900000
Gabby's Dollhouse;TV Show;2021;Animation;45800000
A Beautiful Life;Movie;2023;Drama;45700000
Peppa Pig;TV Show;2004;Animation;45700000
Copycat Killer;TV Show;2023;Crime;45600000
Avatar: The Last Airbender;TV Show;2005;Fantasy;45500000
Friends;TV Show;1994;Comedy;45400000
Peaky Blinders;TV Show;2013;Drama;45400000
The Flash;TV Show;2014;Superhero;45400000
Boys Over Flowers;TV Show;2009;Drama;45300000
The Office;TV Show;2005;Comedy;45300000
Transatlantic;TV Show;2023;Drama;45300000
Friends;TV Show;1994;Comedy;45200000
Masha and the Bear;TV Show;2009;Animation;45100000
Friends;TV Show;1994;Comedy;44900000
The Woman King;Movie;2022;History;44900000
Love Island;TV Show;2019;Reality-Show;44800000
Money Heist;TV Show;2017;Action;44700000
The Walking Dead;TV Show;2010;Horror;44600000
Grey's Anatomy;TV Show;2005;Drama;44300000
S.W.A.T.;TV Show;2017;Crime;44200000
Las munecas de la mafia;TV Show;2010;Drama;44000000
Lucifer;TV Show;2016;Superhero;44000000
Better Call Saul;TV Show;2015;Crime;43900000
Teen Wolf;TV Show;2011;Fantasy;43900000
Friends;TV Show;1994;Comedy;43800000
In Love All Over Again;TV Show;2023;Drama;43800000
Pieces of Her;TV Show;2022;Crime;43800000
F9;Movie;2021;Action;43700000
The 100;TV Show;2014;Science Fiction;43600000
The Blacklist;TV Show;2013;Crime;43500000
Vikings;TV Show;2013;History;43400000
Shameless;TV Show;2011;Comedy;43300000
The Office;TV Show;2005;Comedy;43300000
El Chema;TV Show;2016;Crime;43200000
Rosario Tijeras;TV Show;2016;Action;43200000
Santiago of the Seas;TV Show;2020;Animation;43200000
Seinfeld;TV Show;1989;Comedy;43200000
Inside Man;TV Show;2022;Crime;43100000
The Last Kingdom;TV Show;2015;History;42900000
Through My Window: Across the Sea;Movie;2023;Comedy;42900000
Cocomelon;TV Show;2020;Animation;42800000
Seinfeld;TV Show;1989;Comedy;42800000
Valeria;TV Show;2020;Drama;42800000
Pok?mon;TV Show;1997;Animation;42700000
Purple Hearts;Movie;2022;Romance;42700000
The Last Kingdom;TV Show;2015;History;42700000
Waco: American Apocalypse;TV Show;2023;Documentary;42700000
Gabby's Dollhouse;TV Show;2021;Animation;42600000
Too Hot to Handle;TV Show;2020;Reality-Show;42600000
Guillermo del Toro's Pinocchio;Movie;2022;Animation;42500000
Unlocked;Movie;2023;Crime;42500000
The Crown;TV Show;2016;History;42400000
Arrow;TV Show;2012;Superhero;42300000
Blippi;TV Show;2017;Animation;42100000
The Good Doctor;TV Show;2017;Drama;42100000
Lucifer;TV Show;2016;Superhero;41800000
Pamela A Love Story;Movie;2023;Documentary;41800000
Chor Nikal Ke Bhaga;Movie;2023;Crime;41700000
Seinfeld;TV Show;1989;Comedy;41700000
The Garfield Show;TV Show;2009;Animation;41500000
Agency;TV Show;2023;Drama;41400000
White Chicks;Movie;2004;Comedy;41400000
Wellmania;TV Show;2023;Comedy;41300000
Seinfeld;TV Show;1989;Comedy;41200000
The Creature Cases;TV Show;2022;Animation;41200000
Maestro in Blue;TV Show;2022;Drama;41100000
Turbo;Movie;2013;Animation;41100000
McGregor Forever;TV Show;2023;Documentary;41000000
Black Money Love;TV Show;2014;Drama;40900000
Bloodshot;Movie;2020;Science Fiction;40900000
The Flash;TV Show;2014;Superhero;40900000
El Chapo;TV Show;2017;Drama;40600000
Shameless;TV Show;2011;Comedy;40600000
Demon Slayer: Kimetsu no Yaiba;TV Show;2019;Animation;40500000
Jane the Virgin;TV Show;2014;Comedy;40400000
The Snitch Cartel: Origins;TV Show;2021;Crime;40400000
Guillermo del Toro's Cabinet of Curiosities;TV Show;2022;Horror;40300000
Pok?mon Journeys;TV Show;2019;Animation;40300000
Seinfeld;TV Show;1989;Comedy;40300000
Shrek Forever After;Movie;2010;Animation;40300000
The 100;TV Show;2014;Science Fiction;40300000
Unsolved Mysteries;TV Show;2020;Documentary;40300000
The Last Kingdom;TV Show;2015;History;40200000
Too Hot to Handle: Germany;TV Show;2023;Reality-Show;40200000
Better Call Saul;TV Show;2015;Crime;40200000
Avatar: The Last Airbender;TV Show;2005;Fantasy;40100000
Our Planet;TV Show;2019;Documentary;40100000
H2O: Just Add Water;TV Show;2006;Drama;40000000
The King: Eternal Monarch;TV Show;2020;Science Fiction;39900000
The Office;TV Show;2005;Comedy;39900000
Grey's Anatomy;TV Show;2005;Drama;39800000
Emergency: NYC;TV Show;2023;Documentary;39700000
In the Name of God: A Holy Betrayal;TV Show;2023;Documentary;39700000
Better Call Saul;TV Show;2015;Crime;39500000
Gabby's Dollhouse;TV Show;2021;Animation;39500000
Infiesto;Movie;2023;Crime;39500000
Sanctuary;TV Show;2023;Drama;39400000
Suits;TV Show;2011;Drama;39400000
Ganglands;TV Show;2021;Action;39300000
The Hunger Games;Movie;2012;Science Fiction;39300000
Trolley;TV Show;2022;Thriller;39200000
High Heat;TV Show;2022;Crime;39100000
Rosario Tijeras;TV Show;2016;Action;38900000
The Sinner;TV Show;2017;Crime;38900000
Avatar: The Last Airbender;TV Show;2005;Fantasy;38700000
Ozark;TV Show;2017;Drama;38700000
Shark Tale;Movie;2004;Animation;38700000
The Hatchet Wielding Hitchhiker;Movie;2023;Documentary;38700000
6 Underground;Movie;2019;Action;38600000
Better Call Saul;TV Show;2015;Crime;38600000
Narcos;TV Show;2015;Drama;38600000
Grey's Anatomy;TV Show;2005;Drama;38400000
Mother's Day;Movie;2023;Action;38300000
Orange Is the New Black;TV Show;2013;Drama;38300000
Vikings;TV Show;2013;History;38300000
El Chapo;TV Show;2017;Drama;38200000
